Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
"Identify the comedy group that consisted of Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, and Michael Palin.",Monty Python,https://en.wikipedia.org/wiki/Monty_Python,This was a British comedy troupe formed in 1969,"Their work developed into live shows, films, albums, books and musicals","Their sketch show has been called ""an important moment in the evolution of television comedy""",They made 3 films,They received the BAFTA Award for Outstanding British Contribution to Cinema.,1,3,2,4,5
"What iconic video game series, created by Shigeru Miyamoto and Takashi Tezuka, features the adventures of Link?",The Legend of Zelda,https://en.wikipedia.org/wiki/The_Legend_of_Zelda,The iconic video game series was created by Shigeru Miyamoto and Takashi Tezuka.,The series features the adventures of Link.,The game was first released in Japan in 1986.,The player controls Link as he travels through the land of Hyrule.,The games usually involve the player solving puzzles and battling enemies to progress.,1,2,3,4,5
Name the monstrous deity that lies dormant beneath the Pacific Ocean in the sunken city of R'lyeh.,Cthulhu,https://en.wikipedia.org/wiki/Cthulhu,This is called a cosmic entity and written by H. P. Lovecraft and was introduced in a short story in 1928.,"It is a creature worshipped by cultists, in the shape of a green octopus, dragon.","It is is one of the water elementals and was engaged in an age-old arch-rivalry with a designated air elemental, described as its half brother.","Several organisms have been named after this, including the California spider and the New Guinea moth.",It is pronounced with the first syllable sounding gutturally and very thickly.,1,2,3,4,5
"What iconic singer-songwriter, born Robert Zimmerman, is often referred to as the 'Voice of a Generation'?",Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,He was born in 1941!,This singer also won the Nobel Prize in Literature,"Wrote the song ""Bringing it All Back Home""",This singer also published nine books of paintings and drawings,The person was born in Minnesota.,3,2,1,5,4
Who was the world's highest-paid actress in 2018 and 2019?,Scarlet Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,This actress gained widespread recognition for her role in a 2003 film where she starred alongside Bill Murray.,"In addition to her acting career, she has also ventured into music and has released two albums",She is known for her portrayal of Natasha Romanoff (Black Widow) in the Marvel Cinematic Universe.,"The actress has won several awards for her performances, including a BAFTA and a Tony Award.","She was born on November 22, 1984, in New York City, USA.",3,4,2,5,1
Name the film that explores the idea of humans being unknowingly trapped in a simulated reality controlled by machines.,The Matrix,https://en.wikipedia.org/wiki/The_Matrix,"This film, released in 1999, is a classic in the science fiction genre and is known for its groundbreaking visual effects.","The protagonist, played by Keanu Reeves, discovers the truth about reality with the help of a group of rebels led by Morpheus.",The iconic scene where the protagonist chooses between a red pill and a blue pill is a pivotal moment in the movie.,The film's concept of a simulated reality has influenced many other works in both film and literature.,"The directors of this film, known for their innovative storytelling, are the Wachowskis.",2,3,5,4,1
Where is Europe's highest football pitch located?,Switzerland,https://en.wikipedia.org/wiki/Switzerland,"The country is home to the Alps, the highest mountain range in Europe.","The country is home to the Alps, the highest mountain range in Europe.","The country has four official languages: German, French, Italian, and Romansh.","The country is known for its chocolate, cheese, and watches.",The country's capital city is Bern.,5,4,1,2,3
"What peak is located within the Sagarmatha National Park, a UNESCO World Heritage Site known for its stunning natural beauty?",Mount Everest,https://en.wikipedia.org/wiki/Mount_Everest,It's Earth's highest mountain.,"It reaches an elevation of 8,848.86 meters.",It's located on the China-Nepali border.,It's named after a famous british surveyor and geographer.,"Its tibetan name means ""Holy Mother"".",5,4,3,2,1
"What media personality is known for her influence on early 2000s fashion trends, including the popularization of the 'it girl' image?",Paris Hilton,https://en.wikipedia.org/wiki/Paris_Hilton,She was a reality TV star and socialite,She was known for her signature blonde hair and Juicy Couture tracksuits,"She was a frequent tabloid fixture and was often photographed with her chihuahua, Tinkerbell.","She dated a number of high-profile celebrities, including Nick Carter and Rick Salomon.","Her catchphrase was ""That's hot!""",5,3,1,2,4
"What long-running Japanese manga series, written and illustrated by Eiichiro Oda, follows the adventures of Monkey D. Luffy and his pirate crew?",One Piece,https://en.wikipedia.org/wiki/One_Piece,It's the longest-running manga series in history.,The protagonist is a pirate who wants to become the Pirate King.,"The series is known for its large cast of characters, its exciting action scenes, and its heartwarming moments","The series has been adapted into an anime series, several movies, and numerous video games.","The series is set in a world of pirates, marines, and treasure islands.",5,4,3,2,1
