question,answer,link
"Identify the comedy group that consisted of Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, and Michael Palin.",Monty Python,https://en.wikipedia.org/wiki/Monty_Python
"What iconic video game series, created by Shigeru Miyamoto and Takashi Tezuka, features the adventures of Link?",The Legend of Zelda,https://en.wikipedia.org/wiki/The_Legend_of_Zelda
"In which television series, known for its documentary style, does each episode explore various global issues and events?",This World,https://en.wikipedia.org/wiki/This_World_(TV_series)
Name the mobile game where players aim to rescue stolen eggs by launching a specific kind of animal at enemy pigs.,Angry Birds,https://en.wikipedia.org/wiki/Angry_Birds
Name the monstrous deity that lies dormant beneath the Pacific Ocean in the sunken city of R'lyeh.,Cthulhu,https://en.wikipedia.org/wiki/Cthulhu
Name the character who is portrayed by Ewan McGregor in the Prequel Trilogy of Star Wars films.,Obi-Wan Kenobi,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi
"What iconic singer-songwriter, born Robert Zimmerman, is often referred to as the 'Voice of a Generation'?",Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan
Who was the world's highest-paid actress in 2018 and 2019?,Scarlet Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson
Name the film that explores the idea of humans being unknowingly trapped in a simulated reality controlled by machines.,The Matrix,https://en.wikipedia.org/wiki/The_Matrix
Where is Europe's highest football pitch located?,Switzerland,https://en.wikipedia.org/wiki/Switzerland
"What peak is located within the Sagarmatha National Park, a UNESCO World Heritage Site known for its stunning natural beauty?",Mount Everest,https://en.wikipedia.org/wiki/Mount_Everest
"What media personality is known for her influence on early 2000s fashion trends, including the popularization of the 'it girl' image?",Paris Hilton,https://en.wikipedia.org/wiki/Paris_Hilton
"What long-running Japanese manga series, written and illustrated by Eiichiro Oda, follows the adventures of Monkey D. Luffy and his pirate crew?",One Piece,https://en.wikipedia.org/wiki/One_Piece
"Identify the space fantasy series known for its use of the Force, lightsabers, and epic space battles.",Star Wars,https://en.wikipedia.org/wiki/Star_Wars
Identify the group that was formed in 1985 and inducted into the Rock and Roll Hall of Fame in 2012.,Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses
"In 2009, who made a groundbreaking transfer to a top Spanish club for a then-world record fee?",Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo
What video game from 2013 features a gripping storyline set 20 years after a global pandemic decimated civilization?,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us
"What superhero, due to the Super-Soldier Serum, possesses enhanced strength, agility, and accelerated healing?",Captain America,https://en.wikipedia.org/wiki/Captain_America
Which character is known for its distinctive mushroom-shaped head in the Mario universe?,Toad,https://en.wikipedia.org/wiki/Toad_(Nintendo)
The study of sign language is a part of what?,Phonology,https://en.wikipedia.org/wiki/Phonology
"Identify the activist who spent 27 years in prison for his involvement in the struggle against apartheid, only to become South Africa's first black president.",Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela
"What Emmy-winning series, created by Linwood Boomer, received critical acclaim for its writing, performances, and its realistic portrayal of the ups and downs of family life?",Malcolm in the Middle,https://en.wikipedia.org/wiki/Malcolm_in_the_Middle
What political and economic ideology advocates for collective or governmental ownership and administration of the means of production and distribution of goods?,Socialism,https://en.wikipedia.org/wiki/Socialism
What character appears as a Force ghost to guide and advise Luke Skywalker in his journey as a Jedi?,Obi-Wan Kenobi,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi
What country is the birthplace of the Red Cross?,Switzerland,https://en.wikipedia.org/wiki/Switzerland
Name the high fantasy series that follows the quest to destroy the One Ring and defeat the Dark Lord Sauron.,The Lord of the Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings
"What universe features characters like The Flash, Cyborg, and Aquaman as part of the Justice League?",DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe
"Identify the Electric-type Pokémon that is often seen as the partner of the Pokémon Trainer, Ash Ketchum.",Pikachu,https://en.wikipedia.org/wiki/Pikachu
Name the leader who advocated for nonviolent civil disobedience and played a key role in India's fight against British colonial rule.,Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi
Identify the show that revolves around the partnership between Walter White and Jesse Pinkman as they navigate the dangerous world of illegal drug trade.,Breaking Bad,https://en.wikipedia.org/wiki/Breaking_Bad
Identify the British politician known for his distinctive blond hair and often eccentric demeanor.,Boris Johnson,https://en.wikipedia.org/wiki/Boris_Johnson
Identify the comedy ensemble that originated from the Cambridge University Footlights Dramatic Club and later became cultural icons.,Monty Python,https://en.wikipedia.org/wiki/Monty_Python
Who was married to Ryan Reynolds fom 2008 to 2011?,Scarlet Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson
"What artist gained notoriety for his role in the cult TV series 'Knight Rider,' where he starred alongside the talking car KITT?",David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff
"Who, during his career, has released albums such as 'Highway 61 Revisited,' and 'Blood on the Tracks,'?",Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan
"What term is used to describe a transitional phase between capitalism and communism, where the state plays a significant role in managing the economy?",Socialism,https://en.wikipedia.org/wiki/Socialism
Name the musical device that modifies a person's voice by adding a resonating membrane.,Kazoo,https://en.wikipedia.org/wiki/Kazoo
"Before 2001, where was Boeing headquartered?",Seattle,"https://en.wikipedia.org/wiki/Seattle"""
"What nation, located in Southern Europe, is famous for its delicious cuisine, including pasta, pizza, and gelato?",Italy,https://en.wikipedia.org/wiki/Italy
Identify the character who sacrifices himself in a lightsaber duel with Darth Vader in order to allow Luke and his allies to escape.,Obi-Wan Kenobi,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi
"Identify the performer who gained fame as a child actor for playing the titular character in 'Doogie Howser, M.D.'.",Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris
Who served substituted the coach CeeLo Green in 2013 on the reality TV show 'The Voice'?,Usher,https://en.wikipedia.org/wiki/Usher_(musician)
What is the name of the famous Austrian neurologist and the founder of psychoanalysis?,Sigmund Freud,https://en.wikipedia.org/wiki/Sigmund_Freud
